ldh_factor,simulated,data,fit,fitted_ldh_factor,fitted_ldh_factor_se
0.1,0.40436,,,,
0.25,0.51788,0.51145,0.519442,0.253986,0.0102164
0.316667,0.539769,,,,
0.5,0.573817,0.600968,0.578867,0.54254,0.0356781
0.533333,0.577832,,,,
0.75,0.596231,,,,
0.966667,0.607249,,,,
1,0.608572,0.58759,0.605824,0.93286,0.0889674
1.18333,0.614679,,,,
1.4,0.620087,,,,
1.61667,0.62424,,,,
1.83333,0.627559,,,,
2,0.629705,0.622805,0.624032,1.60452,0.22076
2.05,0.630294,,,,
2.26667,0.632604,,,,
2.48333,0.634594,,,,
2.7,0.636337,,,,
2.91667,0.637884,,,,
3.13333,0.639274,,,,
3.35,0.640535,,,,
3.56667,0.641689,,,,
3.78333,0.642753,,,,
4,0.64374,,,,
